Departures,Domestic,International,FlagCarrier_Flights,Name
7422,0,7422,1925,Aruba
11822,8395,3427,11496,Afghanistan
4978,2907,2071,5891,Angola
3742,8,3734,2249,Anguilla
6535,0,6535,4085,Albania
30478,13010,17468,10070,Netherland Antilles
137917,1,137916,199858,United Arab Emirates
56050,42192,13858,41913,Argentina
6841,0,6841,4203,Armenia
62,0,62,0,American Samoa
6211,0,6211,13008,Antigua and Barbuda
320121,285602,34519,309655,Australia
61290,3458,57832,63472,Austria
9675,119,9556,12553,Azerbaijan
963,0,963,0,Burundi
56277,0,56277,36611,Belgium
2523,0,2523,17876,Benin
3204,556,2648,3519,Burkina Faso
61600,45752,15848,60725,Bangladesh
19880,1949,17931,8088,Bulgaria
16925,0,16925,23536,Bahrain
41927,30770,11157,34856,Bahamas
3515,19,3496,3634,Bosnia and Herzegovina
10409,0,10409,17644,Belarus
144941,142363,2578,144294,Belize
1386,0,1386,0,Bermuda
48682,45130,3552,50505,Bolivia (Plurinational State of)
430912,405525,25387,302157,Brazil
7729,0,7729,0,Barbados
2655,0,2655,4467,Brunei Darussalam
1150,0,1150,3086,Bhutan
3359,1031,2328,2745,Botswana
545,0,545,0,Central African Republic
482663,389070,93593,499365,Canada
110,0,110,0,Cocos (Keeling) Islands
84438,2265,82173,62085,Switzerland
63966,52335,11631,251066,Chile
3821569,3668383,153186,3843646,China
6050,390,5660,2582,Cote d'Ivoire
4184,1137,3047,168,Cameroon
4860,2314,2546,60394,Democratic Republic of the Congo
3170,1635,1535,1592,Congo
1874,1626,248,1626,Cook Islands
147946,122802,25144,144195,Colombia
2795,1376,1419,2305,Comoros
6181,3455,2726,5444,Cabo Verde
42606,31895,10711,29756,Costa Rica
14488,3262,11226,3353,Cuba
9950,6773,3177,10630,Cayman Islands
16535,0,16535,1116,Cyprus
20593,101,20492,10188,Czech Republic
364400,88111,276289,318061,Germany
1697,0,1697,941,Djibouti
3684,0,3684,0,Dominica
62413,15300,47113,77871,Denmark
27851,112,27739,3046,Dominican Republic
25319,15908,9411,27219,Algeria
21845,13024,8821,14164,Ecuador
58123,11883,46240,81633,Egypt
781,0,781,549,Eritrea
822,0,822,0,Western Sahara
406607,201904,204703,296524,Spain
6675,40,6635,0,Estonia
46312,23123,23189,77518,Ethiopia
44567,18651,25916,51061,Finland
15088,7546,7542,10357,Fiji
30,0,30,0,Falkland Islands (Malvinas)
328000,138554,189446,238567,France
1101,0,1101,1888,Faeroe Islands
672,371,301,0,Micronesia (Federated States of)
5639,3258,2381,0,Gabon
404068,104104,299964,481230,United Kingdom of Great Britain and Northern Ireland
7675,8,7667,3354,Georgia
16081,10554,5527,13393,Ghana
801,0,801,0,Gibraltar
1631,0,1631,272,Guinea
7222,0,7222,0,Guadeloupe
1305,0,1305,0,Gambia
602,0,602,0,Guinea-Bissau
3257,2218,1039,3894,Equatorial Guinea
115881,59606,56275,82630,Greece
2285,0,2285,0,Grenada
13933,13375,558,14135,Greenland
10452,3760,6692,5598,Guatemala
498,0,498,0,French Guiana
6559,12,6547,0,Guam
1519,0,1519,0,Guyana
69890,0,69890,82697,"China, Hong Kong Special Administrative Region"
19545,14912,4633,15433,Honduras
18337,5926,12411,14553,Croatia
6077,1556,4521,3227,Haiti
24530,0,24530,163022,Hungary
763215,727696,35519,755221,Indonesia
776959,693545,83414,755136,India
49878,2791,47087,409878,Ireland
109246,95628,13618,113087,Iran (Islamic Republic of)
17806,4380,13426,12030,Iraq
14044,5421,8623,16239,Iceland
25310,3507,21803,14982,Israel
293465,137617,155848,99672,Italy
20175,7849,12326,523,Jamaica
13802,847,12955,15954,Jordan
822130,721481,100649,778415,Japan
47360,38665,8695,46715,Kazakhstan
79233,47185,32048,93884,Kenya
4909,547,4362,41097,Kyrgyzstan
15569,2635,12934,10415,Cambodia
3895,3748,147,3796,Kiribati
3422,68,3354,0,Saint Kitts and Nevis
281104,182953,98151,333368,Republic of Korea
28207,0,28207,29539,Kuwait
13016,9548,3468,21493,Lao People's Democratic Republic
11360,0,11360,10066,Lebanon
878,0,878,0,Liberia
4782,270,4512,9739,Libya
3458,0,3458,0,Saint Lucia
11383,1399,9984,10777,Sri Lanka
306,0,306,0,Lesotho
11455,0,11455,2242,Lithuania
18119,0,18119,32780,Luxembourg
15160,169,14991,23440,Latvia
9388,0,9388,7885,"China, Macao Special Administrative Region"
43674,10078,33596,45937,Morocco
16072,0,16072,0,Monaco
4296,0,4296,2282,Republic of Moldova
9204,7352,1852,8029,Madagascar
11387,6337,5050,7982,Maldives
419140,317972,101168,375359,Mexico
348,96,252,0,Marshall Islands
5023,0,5023,0,The Republic of North Macedonia
3306,160,3146,0,Mali
10431,0,10431,12927,Malta
56732,48093,8639,48455,Myanmar
4068,0,4068,2856,Montenegro
2615,1841,774,3040,Mongolia
1918,0,1918,0,Northern Mariana Islands
9619,7705,1914,6897,Mozambique
2376,539,1837,3808,Mauritania
1064,0,1064,2116,Montserrat
1501,0,1501,0,Martinique
4822,2078,2744,4928,Mauritius
5182,2924,2258,3353,Malawi
195532,143352,52180,202210,Malaysia
2236,0,2236,2651,Mayotte
6432,3807,2625,6293,Namibia
9565,8799,766,11453,New Caledonia
2111,160,1951,160,Niger
218,0,218,0,Norfolk Island
50153,41225,8928,38035,Nigeria
6300,3404,2896,3498,Nicaragua
45,0,45,0,Niue
129591,197,129394,170672,Netherlands
205852,170566,35286,146484,Norway
62374,55974,6400,61342,Nepal
112,0,112,335,Nauru
150882,137892,12990,123593,New Zealand
36908,6235,30673,50512,Oman
44603,19727,24876,30962,Pakistan
32768,7619,25149,51468,Panama
56833,44344,12489,12133,Peru
120709,90502,30207,113435,Philippines
281,0,281,0,Palau
40362,39008,1354,40897,Papua New Guinea
89364,15829,73535,76845,Poland
64962,18222,46740,9095,Puerto Rico
423,0,423,832,Democratic People's Republic of Korea
99286,29851,69435,66298,Portugal
3151,340,2811,1073,Paraguay
15362,14481,881,15926,French Polynesia
71151,0,71151,135208,Qatar
3065,0,3065,3293,Reunion
46883,8721,38162,31274,Romania
583530,493799,89731,609078,Russian Federation
5212,314,4898,8492,Rwanda
190133,130175,59958,169590,Saudi Arabia
13724,4966,8758,15539,Sudan
10047,2534,7513,11272,Senegal
55125,0,55125,63201,Singapore
561,0,561,0,Saint Helena
6465,5979,486,7009,Solomon Islands
1002,0,1002,0,Sierra Leone
8182,0,8182,1209,El Salvador
4551,1264,3287,0,Somalia
442,0,442,882,Saint Pierre and Miquelon
17331,1,17330,15359,Serbia
2608,392,2216,0,South Sudan
1116,660,456,795,Sao Tome and Principe
1375,0,1375,2933,Suriname
3110,0,3110,0,Slovakia
1943,0,1943,0,Slovenia
84862,43311,41551,137868,Sweden
9762,8518,1244,9033,Seychelles
1602,2,1600,2546,Syrian Arab Republic
13009,8773,4236,24718,Turks and Caicos Islands
1751,650,1101,2492,Chad
3404,0,3404,9555,Togo
254960,185526,69434,234761,Thailand
3737,162,3575,3738,Tajikistan
9057,8253,804,9197,Turkmenistan
835,0,835,0,Timor-Leste
2801,2538,263,0,Tonga
14526,8600,5926,16321,Trinidad and Tobago
18965,2939,16026,19191,Tunisia
186424,125071,61353,224016,Turkey
65,0,65,0,Tuvalu
130264,72862,57402,147826,Taiwan Island
91516,82066,9450,88190,United Republic of Tanzania
9859,2925,6934,7736,Uganda
54854,9358,45496,37009,Ukraine
3519,2,3517,1680,Uruguay
5870964,5496536,374428,5914352,United States of America
6089,1896,4193,6315,Uzbekistan
1999,0,1999,0,Saint Vincent and the Grenadines
20175,14897,5278,37747,Venezuela (Bolivarian Republic of)
14826,1511,13315,2267,British Virgin Islands
33762,13843,19919,14016,United States Virgin Islands
256244,213907,42337,202865,Viet Nam
9705,9157,548,9729,Vanuatu
1479,1384,95,0,Wallis and Futuna Islands
807,0,807,1132,Samoa
463,8,455,560,Yemen
96704,76147,20557,102696,South Africa
10390,6394,3996,6648,Zambia
7577,2896,4681,3866,Zimbabwe
